1        cord_N,1      smile_N,0.02
2     rooster_N,2     voyage_N,0.04
3        noon_N,3     string_N,0.04
4       fruit_N,4    furnace_N,0.05
5   autograph_N,5      shore_N,0.06
6  automobile_N,6     wizard_N,0.11
7       mound_N,7      stove_N,0.14
8        grin_N,8  implement_N,0.18
9      asylum_N,9      fruit_N,0.19
10     asylum_N,10      monk_N,0.39
11  graveyard_N,11  madhouse_N,0.42
12      glass_N,12  magician_N,0.44
13        boy_N,13   rooster_N,0.44
14    cushion_N,14     jewel_N,0.45
15       monk_N,15     slave_N,0.57
16     asylum_N,16  cemetery_N,0.79
17      coast_N,17    forest_N,0.85
18       grin_N,18       lad_N,0.88
19      shore_N,19  woodland_N,0.9
20       monk_N,20    oracle_N,0.91
21        boy_N,21      sage_N,0.96
22 automobile_N,22   cushion_N,0.97
23      mound_N,23     shore_N,0.97
24        lad_N,24    wizard_N,0.99
25     forest_N,25 graveyard_N,1
26       food_N,26   rooster_N,1.09
27   cemetery_N,27  woodland_N,1.18
28      shore_N,28    voyage_N,1.22
29       bird_N,29  woodland_N,1.24
30      coast_N,30      hill_N,1.26
31    furnace_N,31 implement_N,1.37
32      crane_N,32   rooster_N,1.41
33       hill_N,33  woodland_N,1.48
34        car_N,34   journey_N,1.55
35   cemetery_N,35     mound_N,1.69
36      glass_N,36     jewel_N,1.78
37   magician_N,37    oracle_N,1.82
38      crane_N,38 implement_N,2.37
39    brother_N,39       lad_N,2.41
40       sage_N,40    wizard_N,2.46
41     oracle_N,41      sage_N,2.61
42       bird_N,42     crane_N,2.63
43       bird_N,43      cock_N,2.63
44       food_N,44     fruit_N,2.69
45    brother_N,45      monk_N,2.74
46     asylum_N,46  madhouse_N,3.04
47    furnace_N,47     stove_N,3.11
48   magician_N,48    wizard_N,3.21
49       hill_N,49     mound_N,3.29
50       cord_N,50    string_N,3.41
51      glass_N,51   tumbler_N,3.45
52       grin_N,52     smile_N,3.46
53       serf_N,53     slave_N,3.46
54    journey_N,54    voyage_N,3.58
55  autograph_N,55 signature_N,3.59
56      coast_N,56     shore_N,3.6
57     forest_N,57  woodland_N,3.65
58  implement_N,58      tool_N,3.66
59       cock_N,59   rooster_N,3.68
60        boy_N,60       lad_N,3.82
61    cushion_N,61    pillow_N,3.84
62   cemetery_N,62 graveyard_N,3.88
63 automobile_N,63       car_N,3.92
64     midday_N,64      noon_N,3.94
65        gem_N,65     jewel_N,3.94
